Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
MAGUR (MAGUR)," participation a toutes operations par voie de creation de ste, a leur constitution ou a l'augumentation de capital, gestion de toutes affaires..", 52 Rue De Provins,Casablanca,33.592067 : -7.600887, 24557,Tribunal de Casablanca,,Societe Anonyme, 10 000 
MISSIMIX (MISSIMEX), marchand effectuant import-export, 8 Rue Ait Ourir,Rabat,34.015049 : -6.832719999999995, 44361,Tribunal de Rabat,,Societe a Responsabilite Limitee, 600 000 
PLASMECA," l'industrie, la fabrication, la transformation a partir du matieres plastiques, de caoutchou de textiles", Zone Industriel Km 7 Route De Martil,Tetouan (M),35.57621 : -5.368434999999977, 1199,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 2 000 000 
SOCIETE IMMOBILIERE YOUSRA XIX," achat, vente de meuble, promoteur immobilier", 239 Bd Mohamed V,Casablanca,33.593485 : -7.603666, 69547,Tribunal de Casablanca,,Societe Anonyme, 100 000 
ARTEX, filature de toutes files textiles et plus particulierement de la laine operations financieres, Ouezzane Centre,Sidi-Kacem,34.225687 : -5.709779, 7675,Tribunal de Rabat,,Societe a Responsabilite Limitee, 5 500 000 
EURO SOULIMAN TEXTILE, travaux de confection et import export,N/A,N/A,35.1666667 : -2.9333332999999584, 5977,Tribunal de Nador, 001454976000066,Societe a Responsabilite Limitee, 100 000 
LEGUMIERE (STE)," exploitation usines, legumes secs, cereales et import de ces produits", Avenue Du General Drude,Casablanca,33.59363 : -7.613846, 87,Tribunal de Casablanca,,Societe Anonyme, 500 000 
N/A
TASSIM IMMOBILIERE, promoteur a la construction d'immeuble, Lotissement Hind,Kenitra,34.257394 : -6.590154, 24317,Tribunal de Souk Larbaa,,Societe a Responsabilite Limitee, 100 000 
MASI (STE) (MASI), operations immobilieres l'exclusion de celles ayant un caractere commercial, 59 Bd Gallieni,Casablanca,33.58694440000001 : -7.6111111000000164, 2617,Tribunal de Casablanca,,Societe Anonyme, 500 000 
TOULOUSAINE TRAVAUX (LA), entreprise generale de tous publics et prives, 4 Rue Normand,Rabat,33.999333 : -6.844248, 11969,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
FANNY CHARLEY, entrepreneur a la gestion d'exploitation commerciale (maison d'hotes), 7 Azbezt Derb Ferane Medina,Marrakech-Medina (AR),31.6333333 : -8, 27201,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 40 000 
AFRICAINE DE TRANSPORTS (CIE), exploitation de tous transports, 59 Rue De Bouskoura,Casablanca,33.58694440000001 : -7.6111111000000164, 373,Tribunal de Casablanca,,Societe Anonyme, 37 964 400 
