Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
FELIX (STE POUR L'EXPLOITATION DU CAFE BAR), exploitation du cafe bar felix, Av De La Gare,Meknes,33.897229 : -5.533388, 6597,Tribunal de Fes,,Societe a Responsabilite Limitee, 900 000 
CARANSE (MACHKOUR), fabrication de chaussures," Hay Mly Abdellah , Rue 290 Ndeg 39",Casablanca,33.5357220535 : -7.59348398049, 57601,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000 
LA VISTA DEL NORTE, promotion immobiliere," Hay Boughaz, Rue 24 Ndeg 7",Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 19019,Tribunal de Tanger, 001451870000023,Societe a Responsabilite Limitee, 100 000 
MAROC (STE ANONYME DE VEHICULES AUTOMOBILES AU) (SAVA), commerce automobiles et articles s'y rattachant, 42 Rue Des Ouled Ziane,Casablanca,33.58694440000001 : -7.6111111000000164, 1287,Tribunal de Casablanca,,Societe Anonyme, 1 500 000 
NEGOCE TECHNIC ET COMMERCE INTERNATIONAL (NTCI), developpement gestion exploitation des domaines agricols, Villa N170 Quartier Tadart,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 3457,Tribunal de Agadir,,Societe Anonyme, 100 000 
PHONE LEADER, telephone telecommunication, Zone Ind Ben Msik Sidi Othman Lot 108,Casablanca,33.555903 : -7.552163, 118471,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
A LOT ET P LAVAL CORDERIE MAROCAINE (STE ETS), installation et exploitation d'une corderie ficellerie et derives, 19 Rue De Rouen,Casablanca,33.58694440000001 : -7.6111111000000164, 7529,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 
BATISAD, travaux divers, 33 Rue Gdira Hay Walae Kom,Sale,33.993628 : -6.742558, 8939,Tribunal de Sale, 001686201000008,Societe a Responsabilite Limitee, 100 000 
PYRACOM (STE)," travaux de constructions metalliques, de soudure et de charpentes", 819 Diour Jdad Bni M'hamed,Meknes,33.894082 : -5.544582, 20413,Tribunal de Meknes, 001721928000044,Societe a Responsabilite Limitee, 100 000 
LIBRE SERVICE FLORIDA, alimentation generale md importateur, Lot Hosni N13,Casablanca,33.533333 : -7.583333, 94841,Tribunal de Casablanca, 001429662000082,Societe a Responsabilite Limitee, 100 000 
TOP CARS, location de voitures, Secteurs Balneaire,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 741,Tribunal de Agadir,,Societe a Responsabilite Limitee, 40 000 
J. BARZACH (OMNIUM TECHNIQUE ANCIENS ETS)," la fabrication imp exp vente representation courtage,negoce mentage materiels techniques", 504 Bis Rue Goulmima,Casablanca,33.59978 : -7.62567, 32965,Tribunal de Casablanca,,Societe Anonyme, 450 000 
INFORMATIQUE SYSTEME INSTITUT (INFORSYS), ecole d'informatique, Rue De L'industrie Imm Tantaoui 3e Etage,Safi,32.309897 : -9.232274, 471,Tribunal de Safi,,Societe a Responsabilite Limitee, 105 000 
PHARMA CHANNEL, diffusion de spots publicitaires sur supports dynamiques et statiques dans tous secteurs lies a la sante et au developpement social d'une maniere generale, 15 Rue Bab El Irfane N 6 Residence Ouchtar 12,Casablanca,33.58694440000001 : -7.6111111000000164, 156839,Tribunal de Casablanca, 001548860000002,Societe a Responsabilite Limitee, 100 000 
PLASTIK PROFIL (STE) (PP), toutes operations commerciales industrielles artisanales agricoles financieres mobilieres ou immobilieres, 18 Rue Recroi Belvedere,Casablanca,33.596831 : -7.593389, 33945,Tribunal de Casablanca,,Societe Anonyme, 500 000 
BIOFREESE (BIOFREEZE), marchand effectuant import-export, 1 Place Istiqlal,Casablanca,33.58694440000001 : -7.6111111000000164, 66931,Tribunal de Casablanca,,Societe Anonyme, 100 000 
AMALIMI DE CONSTRUCTION ET DE PLATRE (STE) (AMALICOP), entrepreneur de travaux divers, Rue 137 N66 El Oulfa Groupe M,Casablanca,33.5564236661 : -7.67990817114, 67915,Tribunal de Casablanca,,Societe Anonyme, 200 000 
TRANS-EXPRESS (STE), operations de transit, 133 Rue Dumont D'urville,Casablanca,33.58916 : -7.60545, 11445,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
HMO IMMOBILIERE, la promotion immobiliere, Avenue Youssef Ibn Tachfine Immeuble Afif N6 1er Etage Appt 16,Tanger-Assilah,35.77421 : -5.80235, 28279,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
AUTO INNOVATION, achat vente transformation ou fabrication de pieces detachees automobiles et accessoires, 382 Bd De La Gare,Casablanca,33.58694440000001 : -7.6111111000000164, 20081,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000 
MONKEY TRIAL, confection textile, 32 Rue Tenaker,Tanger-Assilah,35.788488 : -5.813522, 9839,Tribunal de Tanger,,Societe a Responsabilite Limitee, 50 000 
AFRICAINE DE METAUX ET D'APPAREILS SANITAIRES (STE) (SAMAS), vente de metaux et appareils sanitaires, 8 Rue Amiral Courbet,Casablanca,33.58694440000001 : -7.6111111000000164, 19539,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 250 000 
EVRIDAY CUIR, confection en cuir," Lotissement Zoubir, Lot Ndeg 59, Lissasfa,",Casablanca,33.52874 : -7.67861, 145549,Tribunal de Casablanca, 000218255000059,Societe a Responsabilite Limitee a Associe Unique, 150 000 
COMATET (COMATET), vente-achat tous materiaux de construction, Place Dchira,Laayoune,27.151712 : -13.199184, 493,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 40 000 
FILNORD, teinture fil et texture, Chemin Des Provinces Ain Sebaa,Casablanca,33.601564 : -7.545368, 32203,Tribunal de Casablanca, 001829162000079,Societe a Responsabilite Limitee a Associe Unique, 700 000 
