Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
CENTURELLI-MAROC (STE)," chauffage, sanitaire, plomberie, electricite", Km 4 Route De Rabat,Casablanca,33.609434 : -7.519515, 14901,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 6 000 
EXPANSION COMMERCIALE ET VINICOLE (STE), vins bieres et limonades, Rue Copperson Gueliz,Marrakech,31.63231 : -8.009374, 513,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
NEGOAGDAZ (NEGOAGDAZ), negociant, Hay El Azhari I Rue 62 N57 Quartier El Oulfa,Casablanca,33.5493765355 : -7.68554439801, 68739,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
MACHINOGROUP (MACHINOGROUP), marchand effectuant import-export, Rue Jalal Eddine Assayouti N32,Casablanca,33.589427 : -7.634818, 78763,Tribunal de Casablanca, 000513592000039,Societe Anonyme, 300 000 
NORDAFRICAINE DE TEXTILES (NORDATEX), textiles, Zone Industrielle Route De Tetouan Azit 33,Tanger-Assilah,35.740831554 : -5.779227072, 4895,Tribunal de Tanger,,Societe Anonyme, 5 950 000 
CONFIAS HOME MAROC," services supplementaires ou accessoires du secteur immobilier, touristique", Station Balneaire Bp122,Saidia (M),35.087183 : -2.231814, 1089,Tribunal de Berkane, 001712906000071,Societe a Responsabilite Limitee, 3 000 000 
WORLD INDUCTION," entrepreneur, installations electriques", Sidi Bernoussi Bloc 19 N3bis Rue 30,Casablanca,33.610869 : -7.504093, 70935,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000 
TELECMA TRAVAUX D'ELECTRICITE DUU MAROC, entreprise d'installation electriquue, Rue El Gara N1,Casablanca,33.60851 : -7.56437, 77501,Tribunal de Casablanca,,Societe Anonyme, 100 000 
GENIE MAGHREBIN DU MANAGEMENT ET DE L'INFORMATIQUE (STE) (G2MI), tenant un bureau d'etudes, Rue Chaouchi Bab Chaafa N70,Sale,34.044202 : -6.825406, 1567,Tribunal de Sale,,Societe a Responsabilite Limitee, 10 000 
MAROCAINE DES IMPRIMERIES GRAPHONIST (STE) (SOMIGRAP)," imprimerie, papeterie, librairie, edition et publication etc", 6 Rue Des Glycines Beausejour,Casablanca,33.55672 : -7.667043, 44303,Tribunal de Casablanca, 001593848000057,Societe Anonyme, 2 000 000 
PRECISION-PLUS, import-export, 16 Rue De Foucauld,Casablanca,33.59673 : -7.61523, 57783,Tribunal de Casablanca,,Societe Anonyme, 10 000 
SOPHA GHARB, produits pharmaceutiques en gros, Boulevard De La Gare,Sidi-Kacem,34.225687 : -5.709779, 24273,Tribunal de Souk Larbaa,,Societe Anonyme, 600 000 
YVON R. DE FARGUES INGENIEUR CONSEIL (CABINET), etablir tous projets faire tous rapports etudes recherches et expertises la surveillance ou la conduite de tous travaux et installation etc, 81 Rue Colbert,Casablanca,33.59355 : -7.61359, 19307,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000 
NORD SUD TOURISME, la creation la gestion la location ainsi que l'exploitation de toute etablissement touristique, Rue Patrice Lumumba N63,Tanger-Assilah,35.766667 : -5.8, 6523,Tribunal de Tanger,,Societe Anonyme, 11 000 
SAFI (CARRELAGE ARTISANAL DE) (CARTISA)," fabrication, vente, achat de poterie"," Route Dar Siaissa Km 4,300",Safi,32.300494 : -9.230993, 475,Tribunal de Safi,,Societe a Responsabilite Limitee, 100 000 
TOUINT D'IMPORT ET D'EXPORT (STE), importation et exportation, Av Abou El Hassan Chadli N6,Tanger-Assilah,35.768486 : -5.809275, 9435,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
J. LEMARCHAND (STE IMMOBILIERE), acquisition d'immeubles et edification de construction a usage industriel commercial, 47 Boulevard De La Gare,Casablanca,33.58694440000001 : -7.6111111000000164, 10227,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000 000 
PERFECT PROJET, batiment et travaux publics, Immeuble 33 Angle Rues Omar Slaoui Et Abderrahmane Chenguiti Magasin N 21,Rabat,34.011475 : -6.857215, 49597,Tribunal de Rabat, 001537498000062,Societe a Responsabilite Limitee a Associe Unique, 100 000 
SERVICES ETUDES ET TRAVAUX (SETRA)," execution ou surveillance de tous travaux publics ou prives, execution de tous meubles etude recherche de tous marches acquisition etc", 13 Rue Saad Bnou Abi Ouqass,Casablanca,33.59179 : -7.58384, 35023,Tribunal de Casablanca,,Societe Anonyme, 400 000 
MAROCAINE DE REVETEMENTS METALLIQUES ET PLASTIQUES (STE) (METALROC), tous travaux d'industrie et de transformation des metaux et du matieres plastiques et en particulier les revetements ayant pour objet la protect," Km 12,500 Route De Rabat",Casablanca,33.58694440000001 : -7.6111111000000164, 17181,Tribunal de Casablanca,,Societe Anonyme, 360 000 
RMICO, industie de textile et de confection import-export, Km 4 Route Cotierre D'azemmour,Casablanca,33.603244 : -7.620009, 45469,Tribunal de Casablanca,,Societe Anonyme, 300 000 
STE ASSRE DE CONSTRUCTION (27/10/1999), travaux de construction, 16 Rue De Londre,Oujda-Angad,34.695905 : -1.919944, 16189,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000 
INSTITUT PROFESSIONNEL DE SCIENCES APPLIQUEES (STE) (IPSA), institut professionnel prives, 77 Rue Agadir,Essaouira,31.512088 : -9.76632, 187,Tribunal de Essaouira,,Societe en Nom Collectif, 10 000 
