Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
SKAPIE, marchand effectuant l'importation et l'exportation, 4 Boulevard Mokhtar Soussi Hassania Ii Extention,Mohammedia,33.68383 : -7.39305, 1111,Tribunal de Mohammedia,,Societe Anonyme, 20 000
PRINCIERE ET PALAIS ROYAL REUNIS (STE LA), industrie ett commerce de la chocolaterie confiserie patisserie et tous produits alimentaires, 43 Rue Gallieni,Casablanca,33.580825 : -7.623784, 21593,Tribunal de Casablanca,,Societe Anonyme, 290 000
COPIE TEX (COPIE TEX)," entrepreneur de copies, marchand papetier", Rue El Araar Ex Gay Lussac N36,Casablanca,33.581789 : -7.594305, 70169,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
SACHET SABATIER ET CIE, materiaux de construction, Bd Auguste Krauss Imm Cledat,Oujda-Angad,34.68707 : -1.91676, 854,Tribunal de Oujda,,Societe en Nom Collectif, 1 500 000
GROUPE SCOLAIRE LINAZOUHAIR PRIVE, chef d'institution promoteur a la construction d'immeubles, Lot 170 Rue 13 Hay Baraka My Rachid,Casablanca,33.58694440000001 : -7.6111111000000164, 116561,Tribunal de Casablanca, 001811042000051,Societe a Responsabilite Limitee, 3 000 000
SALMA PHARM, vente de produits para pharmaceutique, N21 Iyass Bnou Mouaouia,Fes,34.033333 : -5, 25759,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000
OUED EDDAHAB (BLANCHISSERIE), blanchisserie, Groupe Ennahda N2,Kenitra,34.26406100000001 : -6.578296000000023, 25485,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 80 000
AGAH PRODUCTION," fabricant de vetement confectionnes,", Rue 3 Lotissement 127 Quartier Industriel Moulay Rachid Ben M'sik,Casablanca,33.58694440000001 : -7.6111111000000164, 92415,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000
PRIVATE ASSESMENT, bureau d'etudes, 30 Angle Rue D'entrecasteaux Et Bd Zerktouni,Casablanca,33.58694440000001 : -7.6111111000000164, 92433,Tribunal de Casablanca,,Societe en Nom Collectif, 30 000
SOUSS (STE DES CARRIERES DU) (SOCASOUS), exploitant de carrieres, Imm M2 Av My Abdellah,Agadir-Ida Ou Tanane,30.421066 : -9.597631, 1507,Tribunal de Agadir,,Societe Anonyme, 20 000
AGRICOLE DE VENTE ET D'ACHAT (STE), vente et achat de cereales, 61 Av Moulay Idriss,Khenifra,32.939321 : -5.665844, 497,Tribunal de Midelt, 001971741000085,Societe a Responsabilite Limitee, 2 000 000
MEGLOBAT (MEGLOBAT)," l'achat, la vente, le commerce en general de tous materiels et materiaux de construction...", 3 Square Ahama Bd Moulay Youssef,Casablanca,33.597271 : -7.630897, 50369,Tribunal de Casablanca,,Societe Anonyme, 810 000
MAROCAINE DE TRAVAUX PUBLICS ET CONSTRUCTIONS (STE) (SOMATEC), travaux publics prives genie civil fournitures pour batiments reparation de materiel operations mobilieres immobilieres industrieles..., 38 Rue Gallieni,Casablanca,33.58694440000001 : -7.6111111000000164, 7795,Tribunal de Casablanca,,Societe Anonyme, 500 000
RAPHAEL BIBAS ET CIE (STE MAROCAINE DES ETS)," courtage, commission, consignation, representation, commerce, industrie import export", 156 Avenue Du General Drude,Casablanca,33.59338 : -7.61296, 5829,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 3 000
UMA BTP (PROVENCE), production de materiaux de construction import export, Km 13 Route D'el Jadida,Casablanca,33.532301 : -7.6734, 64099,Tribunal de Casablanca,,Societe Anonyme, 2 500 000
INDUSTRIAS DEL CUERO, tannerie, 7 Rue Vermeer,Tanger-Assilah,35.777192 : -5.809528, 4113,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000
SANNAE CAR, location de voitures, 40 Rue Moussa Ben Noussair,Tanger-Assilah,35.77852 : -5.81192, 10327,Tribunal de Tanger,,Societe Anonyme, 10 000
NET PARTNERS, informatique et conseils, 6 Rue My Abdelhafid Appt 7,Rabat,34.016445 : -6.82867, 49819,Tribunal de Rabat, 000529256000031,Societe a Responsabilite Limitee, 100 000
GROUPE EGUIMENDYA COMMUNICATION, agence publicite," 20, Boulevard De Paris 3eme Etage",Casablanca,33.59369 : -7.62088, 98927,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000
DESIGN AGENCEMENT, entrepreneur de decoration, 102 Bd My Driss 1er Etage,Casablanca,33.57245 : -7.61397, 95605,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
FASHION GROUP, exploitant atelier industriel pour la fabrication de vetements confectionnes, 24 Avenue Jaber Ibn Hayane Quartier Industriel Sidi Brahim,Fes-Medina (AR),34.0333333 : -5, 17623,Tribunal de Fes,,Societe a Responsabilite Limitee, 400 000
B.G. FABRICATION DISTRIBUTION, articles de fete, Ismailia 1 Rue N2 Imm N42,Meknes,33.894082 : -5.544582, 18301,Tribunal de Meknes,,Societe a Responsabilite Limitee, 100 000
HDACH YANAIER," promotion immobiliere, lotisseur des terrains"," Essada, 25, Route De Sidi Bouzid, Bd.j, Residence 11 Janvier, 1er Etage, Appt. Ndeg30",El-Jadida (M),33.254174 : -8.508038, 1297,Tribunal de Eljadida, 001915952000075,Societe a Responsabilite Limitee, 189 000
MOMOUJOU (STE MINIERE DE), exploitation et recherches de tous minerais, 40 Gouraud,Fes,34.033333 : -5, 11607,Tribunal de Fes,,Societe Anonyme, 100 000
BOBINAGE ELECTRICITE INDUSTRIELLE POMPAGE (BESOIP)," bobinage, electricite industrielle, pompage", 351bis Metchifsane,Khenifra,32.939321 : -5.665844, 117,Tribunal de Khenifra,,Societe a Responsabilite Limitee, 100 000
TISSIR CONFECTION, fabricant de vetements confectionnes, Hay Mohammadi Lotissement Sam El Antaria I Rue 2 N92,Casablanca,33.5854360705 : -7.54480814159, 57767,Tribunal de Casablanca,,Societe Anonyme, 20 000
PHOTO SERVICE, toutes operations commerciales et industrielles exploitation tous fond de commerce de photographie television etc, 343 Rue D'aviation Francaise,Casablanca,33.5887 : -7.61643, 23329,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000
DIAF - NATURE, distribution des produits de nettoyages et d'entretien, Lot Kariat Al Azhar Imm 9 Ndeg 143 Etage 3 5eme Tr2 Bernoussi,Sidi Bernoussi (AR),33.58694440000001 : -7.6111111000000164, 151195,Tribunal de Casablanca, 001431039000054,Societe a Responsabilite Limitee, 60 000
MTM CONSEIL," le conseil en matiere de legislation douaniere, de fiscalite indirecte, le conseil en matiere de commerce international", N 16 Bloc 107 Moubaraka Al Qods Bernoussi,Sidi Bernoussi (AR),33.58694440000001 : -7.6111111000000164, 151127,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 10 000
CASABLANCAISE EXPERTISE COMPTABLE (FIDUCIAIRE) (FIDUCEC), entrepreneur de comptabilite, 10 Rue Montesquieu,Casablanca,33.59064 : -7.63037, 38079,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
CONSTRUCTION ELECTRICITE PEINTURE ASSAINISSEMENT VOIRIE UNI (CEPAV), travaux de construction d'electricite et de peinture, Bd Lalla Yacout Immb 149 Bureau N143,Casablanca,33.589266 : -7.609854, 94139,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
SEMAGRI (STE) (SEMAGRI)," la recherche, creation, depot, production, achat, vente de semences de legumes, toutes plantes a destination de l'agriculture", Rue De Tanger N11,Larache,35.18333330000001 : -6.149999999999977, 133,Tribunal de Larache,,Societe a Responsabilite Limitee, 100 000
ELAK (SANITAIRE), importation exportation de biens de construction, 48 Rue Atlas,Tanger-Assilah,35.76787 : -5.8227, 10761,Tribunal de Tanger,,Societe a Responsabilite Limitee, 200 000
MARED (STE) (MARED)," acquisition de tous immeubles batis ou non, urbains ou ruraux, edification de toutes constructions", Villa L'hacienda Allee Des Moineaux Quartier De L'hippodrome,Casablanca,33.585701 : -7.653593, 26491,Tribunal de Casablanca,,Societe Anonyme, 120 000
PUB-INFO DU GHARB, informatique et services, Lotissement Basma N108,Kenitra,34.257394 : -6.590154, 30779,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 10 000
